order_id,tag,side,entry,exit,sl,tp,R,pnl_usd
1,TP,-1,1.1042366590735138,1.0963898902344116,1.1099434000474064,1.0963898902344116,1.374999999999956,2.749999999999912
2,TP,-1,1.0900940769691447,1.0822283780176827,1.0958145852974808,1.0822283780176827,1.375,2.75
3,SL,1,1.0785881344647994,1.0734667960393647,1.0734667960393647,1.0856299747997722,-1.0,-2.0
4,TP,1,1.0849692386609264,1.0932746723662734,1.078928923238856,1.0932746723662734,1.3750000000000044,2.750000000000009
5,SL,-1,1.1272664630316624,1.131959224677969,1.131959224677969,1.1208139157679908,-1.0,-2.0
6,TP,1,1.1320711006664788,1.1395425190943858,1.1266373418098192,1.1395425190943858,1.3750000000000255,2.750000000000051
7,SL,-1,1.164186742377346,1.169483805649473,1.169483805649473,1.1569032803781714,-1.0,-2.0
8,SL,-1,1.1679169371862683,1.172994068351497,1.172994068351497,1.160935881834079,-1.0,-2.0
9,SL,1,1.1762517990090904,1.1705912623587713,1.1705912623587713,1.184035036903279,-1.0,-2.0
10,SL,-1,1.1689885628824217,1.1748521816105264,1.1748521816105264,1.1609260871312777,-1.0,-2.0
11,TP,1,1.1808518292427612,1.1891821166282779,1.174793438416931,1.1891821166282779,1.375000000000009,2.750000000000018
12,SL,-1,1.1739008840349772,1.179851959677967,1.179851959677967,1.1657181550258662,-1.0,-2.0
13,SL,1,1.1855177439094522,1.1793912272415925,1.1793912272415925,1.1939417043277594,-1.0,-2.0
14,SL,-1,1.1779022756477497,1.183643451933865,1.183643451933865,1.1700081582543413,-1.0,-2.0
15,TP,1,1.184290807279831,1.1922284653449657,1.178517965050642,1.1922284653449657,1.3749999999999807,2.7499999999999614
16,SL,-1,1.1983726642090986,1.2027089092698324,1.2027089092698324,1.1924103272505895,-1.0,-2.0
17,TP,1,1.207072903043025,1.214010129672018,1.2020276473128482,1.214010129672018,1.3750000000000056,2.750000000000011
18,TP,-1,1.189911163641479,1.1804195758306162,1.1968141365948337,1.1804195758306162,1.375000000000004,2.750000000000008
19,SL,1,1.1904436253762325,1.1842627986242458,1.1842627986242458,1.1989422621602142,-1.0,-2.0
20,SL,1,1.193815091505413,1.1875242074177776,1.1875242074177776,1.202465057125912,-1.0,-2.0
21,SL,-1,1.1780435512340985,1.1832870769650958,1.1832870769650958,1.170833703353977,-1.0,-2.0
22,TP,-1,1.1920033319918788,1.1847884056776472,1.1972505511295017,1.1847884056776472,1.3750000000000107,2.7500000000000213
23,SL,1,1.147396935785816,1.1425541079336379,1.1425541079336379,1.1540558240825611,-1.0,-2.0
24,SL,-1,1.143481064744363,1.1488355448828085,1.1488355448828085,1.1361186545540003,-1.0,-2.0
25,SL,-1,1.1605312367865028,1.1665330358125943,1.1665330358125943,1.152278763125627,-1.0,-2.0
26,TP,1,1.1697514138891232,1.1776953625398707,1.1639739966885796,1.1776953625398707,1.375000000000019,2.750000000000038
27,TP,-1,1.2124934285942266,1.204397419781914,1.2183814350031812,1.204397419781914,1.3749999999999951,2.7499999999999902
28,TP,1,1.185416077475722,1.1938227186714236,1.1793021566061208,1.1938227186714236,1.374999999999968,2.749999999999936
29,SL,1,1.1937937849765397,1.1879525213252446,1.1879525213252446,1.2018255224970702,-1.0,-2.0
30,TP,-1,1.1847264936319315,1.1761968382699772,1.1909298793497165,1.1761968382699772,1.374999999999982,2.749999999999964
31,TP,-1,1.1072240781454221,1.1012030564176494,1.1107387235177526,1.1012030564176494,1.7131235416164738,3.4262470832329477
32,SL,1,1.1017128887998409,1.0972437233190118,1.0972437233190118,1.1075824971017276,-1.0,-2.0
33,SL,-1,1.0968844976385554,1.100894807706713,1.100894807706713,1.091678266327446,-1.0,-2.0
34,SL,1,1.0744436568541258,1.0704928356864596,1.0704928356864596,1.0852584701203476,-1.0,-2.0
35,SL,-1,1.0786175187635432,1.0821282756246904,1.0821282756246904,1.0735718844157713,-1.0,-2.0
36,TP,-1,1.080986034696496,1.0741643335003042,1.0846861191079915,1.0741643335003042,1.8436609648681905,3.687321929736381
37,SL,-1,1.0849692386609264,1.0894994752274794,1.0894994752274794,1.0782644620771926,-1.0,-2.0
38,SL,-1,1.103436052028621,1.1075794703918225,1.1075794703918225,1.0978507349406161,-1.0,-2.0
39,SL,-1,1.1067189793472787,1.1110097998916233,1.1110097998916233,1.0984111126071292,-1.0,-2.0
40,SL,-1,1.1367759526734758,1.140573564126187,1.140573564126187,1.1310924240429565,-1.0,-2.0
41,TP,-1,1.1393009719390668,1.131709111283846,1.1430426603119088,1.131709111283846,2.0289933042858563,4.057986608571713
42,TP,1,1.124599091578868,1.1306964703354336,1.1206495310302917,1.1306964703354336,1.543811946056571,3.087623892113142
43,SL,-1,1.1488849686296998,1.1533170191204167,1.1533170191204167,1.1401299488476155,-1.0,-2.0
44,SL,-1,1.154654472613975,1.158961442959285,1.158961442959285,1.1490014310363714,-1.0,-2.0
45,TP,1,1.1673346852401123,1.1735987815560875,1.163457732315458,1.1735987815560875,1.6157266899323572,3.2314533798647145
46,SL,1,1.165007641187796,1.1608020297681185,1.1608020297681185,1.1710308521369528,-1.0,-2.0
47,SL,-1,1.1679265102914616,1.172237070516378,1.172237070516378,1.1630067751178648,-1.0,-2.0
48,SL,-1,1.1757959750027958,1.1799073936684947,1.1799073936684947,1.167513145517233,-1.0,-2.0
49,TP,1,1.1693193001796904,1.1742091424716916,1.1655316091674903,1.1742091424716916,1.2909823626718888,2.5819647253437776
50,SL,1,1.178957512318032,1.174974136416355,1.174974136416355,1.1857983464432684,-1.0,-2.0
51,TP,1,1.1739008840349772,1.184622401812706,1.1694375773027348,1.184622401812706,2.4021467537236396,4.804293507447279
52,TP,1,1.1771869416674456,1.182716197431151,1.172846012010886,1.182716197431151,1.2737492199049973,2.5474984398099947
53,TP,-1,1.1989159988583644,1.1940064417701082,1.2026242742377102,1.1940064417701082,1.3239461976317275,2.647892395263455
54,SL,-1,1.2007596571507044,1.2046953309099295,1.2046953309099295,1.1963705130405404,-1.0,-2.0
55,SL,-1,1.2111408289808614,1.2151410217307776,1.2151410217307776,1.203182107244714,-1.0,-2.0
56,SL,1,1.1961557685911568,1.191323639383593,1.191323639383593,1.2075248624730581,-1.0,-2.0
57,SL,1,1.1839521152768266,1.1793197051114295,1.1793197051114295,1.1910363600170637,-1.0,-2.0
58,SL,-1,1.164349264648469,1.1687482209259956,1.1687482209259956,1.157466896671523,-1.0,-2.0
59,SL,-1,1.1697356249143993,1.1739939114076925,1.1739939114076925,1.1588763040412244,-1.0,-2.0
60,SL,-1,1.18830613809945,1.1931566143439618,1.1931566143439618,1.180319476370285,-1.0,-2.0
61,SL,-1,1.1916038805630533,1.196228623173632,1.196228623173632,1.1818510468444412,-1.0,-2.0
62,SL,-1,1.19458728457554,1.1993505818966834,1.1993505818966834,1.1832532809353453,-1.0,-2.0
63,SL,1,1.1917599486695425,1.1874445915813925,1.1874445915813925,1.19906377372889,-1.0,-2.0
64,SL,1,1.187514421686393,1.1831011747893845,1.1831011747893845,1.198633309354811,-1.0,-2.0
65,SL,1,1.1785284650329997,1.1748593374629912,1.1748593374629912,1.1876872733950288,-1.0,-2.0
66,SL,-1,1.189269169562532,1.193732302932319,1.193732302932319,1.1773708352081194,-1.0,-2.0
67,TP,-1,1.193815091505413,1.1779705129616151,1.1985332545711398,1.1779705129616151,3.3582091850311113,6.716418370062223
68,SL,1,1.168501634500901,1.1644673252504878,1.1644673252504878,1.1766720569169515,-1.0,-2.0
69,SL,1,1.1649963290174545,1.1609641245986266,1.1609641245986266,1.1731663388550475,-1.0,-2.0
70,SL,1,1.153563718057712,1.1496334093421756,1.1496334093421756,1.1596594547154404,-1.0,-2.0
71,SL,1,1.1454366732779764,1.1410779583758246,1.1410779583758246,1.1536302954215756,-1.0,-2.0
72,SL,1,1.1389159377746203,1.134339241876334,1.134339241876334,1.1438695204693619,-1.0,-2.0
73,TP,-1,1.1466557801848063,1.1415264117179773,1.150236048770495,1.1415264117179773,1.4326770028741511,2.8653540057483022
74,SL,-1,1.1505980380212983,1.1548786936928055,1.1548786936928055,1.1454302949843735,-1.0,-2.0
75,SL,-1,1.1634482073389332,1.1675229362969506,1.1675229362969506,1.1552882611651647,-1.0,-2.0
76,TP,-1,1.1716665307493317,1.163170135989699,1.1755332750501777,1.163170135989699,2.1972993553707956,4.394598710741591
77,TP,-1,1.172743061241951,1.167410171366421,1.176651174405506,1.167410171366421,1.3645689498609632,2.7291378997219264
78,TP,1,1.162841636780892,1.1675365702342213,1.1581362791419292,1.1675365702342213,0.9977846135334633,1.9955692270669265
79,SL,-1,1.1924700980973884,1.1970580655128098,1.1970580655128098,1.1787695375572134,-1.0,-2.0
80,SL,-1,1.21477698245997,1.2182996220115525,1.2182996220115525,1.2088725777386962,-1.0,-2.0
81,TP,-1,1.2196713496407168,1.210140047821564,1.223364861725566,1.210140047821564,2.5805524931813095,5.161104986362619
82,SL,1,1.1892948015479374,1.1845892701583187,1.1845892701583187,1.199869402827325,-1.0,-2.0
83,SL,1,1.1786699619393533,1.174348141755908,1.174348141755908,1.1907092245387756,-1.0,-2.0
84,TP,-1,1.1783205491164306,1.1741876619364657,1.1825871821337581,1.1741876619364657,0.9686530721485697,1.9373061442971393
85,SL,-1,1.1807333005579077,1.1851362748886007,1.1851362748886007,1.1759834934312874,-1.0,-2.0
86,TP,-1,1.1984081431313507,1.188220645888976,1.202440415083574,1.188220645888976,2.526490614492862,5.052981228985724
87,SL,1,1.1820668233265044,1.177840759956685,1.177840759956685,1.1917068898228502,-1.0,-2.0
88,TP,1,1.1793276108511714,1.1857935261471413,1.175385544971002,1.1857935261471413,1.6402352199380141,3.2804704398760283
